fighter_id,fight_stat_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,event_city,event_country,avg_ctrl_time,avg_reversals,avg_submission_att,avg_takedown_succ,avg_takedown_att,avg_sig_strikes_att,avg_total_strikes_succ,avg_total_strikes_att,avg_knockdowns,avg_finish_time,fighter_f_name,fighter_l_name
1006,3617,0,3680.0,1006.0,3680.0,3.0,0,3,0,177.8,170.0,187.96,1.0,43.63586584531143,15,7,0,0.0,5,0,19.0,0.0,3.0,0.0,1.0,11.0,54.0,63.0,0.0,300.0,Daniel,Roberts
1013,13151,1,1432.0,1013.0,1432.0,3.0,0,10,0,185.42,205.0,187.96,1.0,33.47296372347707,9,6,0,0.0,0,0,23.0,0.0,0.0,0.0,3.0,19.0,16.0,26.0,0.0,139.0,Karl,Roberson
1019,12123,5,12.0,1019.0,12.0,3.0,0,9,0,177.8,125.0,182.88,1.0,28.92539356605065,10,6,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,40.0,11.0,40.0,0.0,122.0,Jerome,Rivera
1020,11323,5,3045.0,1020.0,3045.0,3.0,0,4,0,167.64,135.0,170.18,1.0,35.10746064339494,10,6,0,0.0,0,0,18.0,1.0,0.0,1.0,9.0,176.0,85.0,180.0,0.0,300.0,Irwin,Rivera
1021,11769,0,1571.0,1021.0,1571.0,3.0,0,4,0,162.56,135.0,172.72,0.0,34.7378507871321,23,5,0,0.0,0,0,4.0,0.0,0.0,1.0,5.0,193.0,65.0,193.0,0.0,300.0,Jimmie,Rivera
1023,7446,79,1023.0,1251.0,1251.0,3.0,0,4,0,172.72,135.0,177.8,0.0,42.46132785763176,11,7,0,1.0,54,0,1.0,0.0,0.0,0.0,0.0,158.0,59.0,163.0,0.0,300.0,Francisco,Rivera
1026,3622,0,1026.0,796.0,1026.0,3.0,0,5,0,185.42,185.0,185.42,0.0,52.07118412046543,20,9,0,0.0,5,0,58.0,1.0,0.0,0.0,0.0,17.0,34.0,48.0,0.0,91.0,Jorge,Rivera
1027,9102,55,1027.0,3563.0,3563.0,3.0,0,4,0,172.72,145.0,175.26,0.0,32.369609856262834,10,2,0,0.0,74,19,183.0,0.0,1.0,2.0,5.0,46.0,26.0,50.0,0.0,300.0,Diego,Rivas
1032,5057,0,3349.0,1032.0,3349.0,3.0,0,0,0,177.8,155.0,177.8,0.0,42.718685831622174,10,5,0,0.0,48,0,2.0,0.0,1.0,0.0,2.0,38.0,14.0,42.0,0.0,296.0,Mike,Rio
1034,4954,166,1034.0,1920.0,1920.0,3.0,0,5,0,182.88,185.0,187.96,1.0,45.11978097193703,14,4,0,0.0,100,1,171.0,0.0,1.0,3.0,6.0,64.0,65.0,104.0,0.0,300.0,Nick,Ring
1035,9905,55,4028.0,1035.0,4028.0,3.0,0,1,0,177.8,145.0,182.88,0.0,36.498288843258045,14,7,0,0.0,7,4,0.0,0.0,0.0,0.0,3.0,104.0,30.0,105.0,0.0,300.0,Jordan,Rinaldi
1038,4626,170,1038.0,888.0,888.0,3.0,0,0,0,172.72,155.0,175.26,1.0,43.29089664613279,30,14,1,0.0,133,0,0.0,0.0,0.0,0.0,0.0,172.0,26.0,172.0,0.0,300.0,Aaron,Riley
1040,7039,117,3580.0,1040.0,3580.0,3.0,0,5,0,182.88,185.0,177.8,1.0,41.503080082135526,44,17,0,1.0,84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,Joe,Riggs
1041,4152,75,1041.0,1907.0,1041.0,3.0,0,3,0,185.42,170.0,193.04,1.0,38.19301848049281,8,3,0,2.0,110,5,192.0,0.0,0.0,1.0,4.0,163.0,74.0,195.0,0.0,300.0,Matthew,Riddle
1042,13518,3,1042.0,1644.0,1644.0,3.0,0,0,0,170.18,155.0,180.34,0.0,32.48459958932238,10,4,0,0.0,18,0,14.0,0.0,0.0,0.0,1.0,25.0,14.0,25.0,0.0,200.0,Brad,Riddell
1049,14108,16,1049.0,1001.0,1049.0,3.0,0,2,1,154.94,115.0,154.94,0.0,29.08966461327857,9,1,0,0.0,8,0,38.0,0.0,0.0,3.0,8.0,315.0,101.0,318.0,0.0,300.0,Tabatha,Ricci
1051,4780,121,1051.0,2305.0,2305.0,3.0,0,0,0,182.88,155.0,193.04,1.0,38.02053388090349,11,5,0,0.0,62,5,46.0,2.0,0.0,0.0,0.0,98.0,31.0,105.0,0.0,300.0,Mike,Ricci
1052,14147,5,2211.0,1052.0,1052.0,3.0,0,0,0,177.8,155.0,175.26,0.0,27.90965092402464,12,1,0,0.0,0,0,75.0,0.0,0.0,2.0,2.0,202.0,135.0,224.0,0.0,300.0,Esteban,Ribovics
1054,14235,6,2181.0,1054.0,2181.0,3.0,0,5,0,185.42,185.0,195.58,0.0,31.68788501026694,11,4,0,0.0,6,0,16.0,0.0,0.0,0.0,1.0,59.0,33.0,60.0,0.0,33.0,Claudio,Ribeiro
1057,14120,16,1057.0,3866.0,3866.0,3.0,0,8,1,160.02,125.0,167.64,0.0,30.57905544147844,11,4,0,0.0,8,0,145.0,0.0,0.0,2.0,3.0,74.0,43.0,85.0,0.0,222.0,Amanda,Ribas
1059,5987,117,693.0,1059.0,693.0,3.0,0,3,0,185.42,170.0,187.96,0.0,34.30527036276523,10,5,0,0.0,115,6,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,75.0,Mike,Rhodes
1064,14400,1,1064.0,3574.0,3574.0,3.0,0,0,0,180.34,155.0,185.42,0.0,37.47843942505133,13,4,0,0.0,0,0,1.0,0.0,0.0,0.0,2.0,38.0,15.0,39.0,0.0,218.0,Alex,Reyes
1065,13516,6,1065.0,579.0,579.0,3.0,0,10,0,193.04,205.0,195.58,1.0,34.24503764544832,12,4,0,0.0,18,0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,12.0,0.0,80.0,Dominick,Reyes
1066,10460,4,1066.0,1495.0,1495.0,3.0,0,1,0,180.34,155.0,180.34,0.0,39.37850787132101,8,7,0,0.0,41,12,0.0,0.0,0.0,0.0,0.0,10.0,7.0,11.0,0.0,96.0,Marco,Polo Reyes
